n,question_id,question,answer,user_answer,category,difficulty,is_correct,response_time,mu_after,mode,ts
1,34,Which team plays home games at Lambeau Field?,Green Bay Packers,,Stadiums,1.0,0,6.47,-0.0672,simulate,2026-02-25T23:41:43Z
2,31,What team does Joe Burrow play for?,Cincinnati Bengals,,Players,1.0,0,8.26,-0.1285,simulate,2026-02-25T23:41:43Z
3,37,How many players are on the field per team during a play?,11,,General,1.0,1,7.26,0.0604,simulate,2026-02-25T23:41:43Z
4,1,Who won Super Bowl I?,Green Bay Packers,,Super Bowl,1.0,0,7.98,-0.0099,simulate,2026-02-25T23:41:43Z
5,7,What city do the Bears call home?,Chicago,,Teams,1.0,0,11.38,-0.0478,simulate,2026-02-25T23:41:43Z
6,9,What does NFL stand for?,National Football League,,General,1.0,0,9.52,-0.0983,simulate,2026-02-25T23:41:43Z
7,20,What team does Patrick Mahomes play for?,Kansas City Chiefs,,Players,1.0,0,8.21,-0.1586,simulate,2026-02-25T23:41:43Z
8,24,How many points is a touchdown worth?,6,,General,1.0,0,12.23,-0.1881,simulate,2026-02-25T23:41:43Z
9,10,Which player is known as the GOAT of NFL quarterbacks?,Tom Brady,,Players,1.0,0,9.88,-0.2309,simulate,2026-02-25T23:41:43Z
10,8,Which coach has the most Super Bowl wins?,Bill Belichick,,Coaches,2.0,0,9.69,-0.2492,simulate,2026-02-25T23:41:43Z
11,3,Which team drafted Peyton Manning in 1998?,Indianapolis Colts,,Draft,2.0,0,7.13,-0.273,simulate,2026-02-25T23:41:43Z
12,27,Which team drafted Aaron Rodgers?,Green Bay Packers,,Draft,2.0,0,9.88,-0.2901,simulate,2026-02-25T23:41:43Z
13,4,Which wide receiver was nicknamed Megatron?,Calvin Johnson,,Players,2.0,0,5.82,-0.3131,simulate,2026-02-25T23:41:43Z
14,13,Which team is known as America's Team?,Dallas Cowboys,,Teams,2.0,0,6.7,-0.3356,simulate,2026-02-25T23:41:43Z
15,18,Which team won Super Bowl LVI?,Los Angeles Rams,,Super Bowl,2.0,0,11.32,-0.3483,simulate,2026-02-25T23:41:43Z
